"","caseid","tea_supp","defsppr_self","spsrvpr_ssself","guarpr_self","immig_checks","wiretap","gun_control","aidblack_self","libcpre_self","white","dem_edu","tea_supp.1","fox","gender_respondent_x","dem_age_r_x","inc_incgroup_pre","Obama","Auth","bornagain","church","republican","trad_adjust","trad_lifestyle","trad_tolerant","trad_famval"
"3687",4633,1,4,1,1,3,3,3,2,6,"White",11,1,"Does not watch Fox","2. female",75,20,0,0.25,NA,"2. no",5,3,4,4,4
"3688",4634,1,4,3,2,3,2,3,2,6,"White",14,1,"Does not watch Fox","1. male",42,12,40,0.5,"2. no","1. yes",7,5,4,4,4
"3689",4635,0,4,4,7,1,2,3,7,4,"Non-white",10,0,"Does not watch Fox","2. female",32,11,100,1,"1. yes","1. yes",1,5,4,5,5
"3690",4636,0,2,5,5,1,2,3,5,3,"White",10,0,NA,"2. female",71,3,70,0.5,"2. no","2. no",2,3,3,2,3
"3691",4637,1,1,4,3,3,2,2,1,7,"White",11,1,"Watches Fox","2. female",51,15,0,1,"1. yes","2. no",7,5,5,5,5
"3692",4638,0,6,4,2,1,3,3,2,4,"White",9,0,"Does not watch Fox","2. female",65,28,40,0.5,"2. no","2. no",5,4,4,4,5
"3693",4639,0,4,NA,4,2,2,2,NA,4,"White",9,0,"Does not watch Fox","1. male",78,1,60,1,"2. no","1. yes",2,3,3,2,4
"3694",4640,0,5,NA,3,2,2,2,NA,2,"Non-white",8,0,"Does not watch Fox","2. female",50,12,100,1,"1. yes","1. yes",1,2,3,3,4
"3695",4641,0,5,1,1,3,1,2,1,4,"White",13,0,"Watches Fox","2. female",76,23,30,0,"2. no","1. yes",2,5,5,3,5
"3696",4642,0,5,2,3,2,NA,3,4,4,"White",10,0,"Does not watch Fox","2. female",44,25,85,NA,NA,"2. no",4,NA,NA,NA,NA
"3697",4643,0,5,4,2,2,2,3,3,4,"Non-white",12,0,"Does not watch Fox","2. female",71,2,85,1,"1. yes","1. yes",1,1,5,2,5
"3698",4644,0,4,6,6,1,1,3,NA,4,"Non-white",10,0,"Does not watch Fox","1. male",57,1,100,1,NA,"2. no",1,5,1,5,1
"3699",4645,0,5,4,6,3,3,3,1,5,"White",9,0,"Does not watch Fox","1. male",43,23,0,0.75,NA,"2. no",4,2,3,3,4
"3700",4646,1,7,2,1,3,2,2,2,7,"White",9,1,"Watches Fox","2. female",66,1,40,0.75,"1. yes","1. yes",6,5,5,2,5
"3701",4647,1,4,2,2,3,1,2,4,5,"White",13,1,"Does not watch Fox","1. male",71,8,7,0.5,"2. no","1. yes",6,4,4,2,5
"3702",4648,0,4,4,3,1,2,3,4,2,"White",14,0,"Does not watch Fox","2. female",62,23,85,0,NA,"1. yes",1,3,3,3,2
"3703",4649,0,6,3,5,3,2,2,1,4,"White",6,0,"Does not watch Fox","1. male",49,11,0,1,NA,"2. no",4,2,4,2,4
"3704",4650,1,6,2,1,3,1,2,1,6,"White",9,1,"Watches Fox","2. female",73,10,15,0.75,"1. yes","1. yes",7,5,5,4,5
"3705",4651,1,6,2,3,1,2,2,2,6,"White",13,1,"Watches Fox","1. male",55,16,0,0.75,"1. yes","1. yes",7,5,4,2,4
"3706",4652,0,4,4,1,2,3,3,4,3,"White",9,0,"Does not watch Fox","2. female",56,8,50,0.75,"1. yes","1. yes",2,5,4,2,5
"3707",4653,1,7,1,1,3,3,1,1,6,"White",10,1,"Watches Fox","1. male",89,5,0,1,"2. no","2. no",7,2,5,2,5
"3708",4654,0,3,5,4,2,2,2,4,3,"White",9,0,"Watches Fox","1. male",50,12,90,0.25,"2. no","2. no",2,3,2,2,3
